longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,ocean_proximity
-122.29,37.91,46,2085,346,748,354,4.0536,262000,NEAR BAY
-121.63,39.76,22,2598,482,1151,490,2.8182,109700,INLAND
-122.16,37.86,36,3359,493,1298,483,8.1586,404300,NEAR BAY
-122.19,37.78,52,1026,180,469,168,2.875,160000,NEAR BAY
-120.76,38.6,14,2925,625,1226,437,2.5865,133800,INLAND
-119.99,38.94,24,1216,289,421,185,3.1625,103600,INLAND
-122.03,37.55,22,9167,1373,4319,1404,6.992,284800,NEAR BAY
-122.26,37.85,52,3618,768,1508,755,3.2619,309600,NEAR BAY
-120.01,38.93,22,3080,610,1045,425,2.996,126100,INLAND
-121.82,38.0,29,2070,452,985,420,2.8466,113400,INLAND
-122.29,37.9,52,2657,500,1131,489,4.4286,234900,NEAR BAY
-122.28,37.89,52,2070,329,722,306,5.4171,292000,NEAR BAY
-122.28,37.87,52,1233,300,571,292,2.2788,182300,NEAR BAY
-119.99,38.94,22,3119,640,786,351,3.0806,118500,INLAND
-122.03,37.95,14,3287,793,1601,716,3.1719,220500,NEAR BAY
-119.8,36.83,17,1560,261,709,258,4.3315,95800,INLAND
-119.7,36.8,31,1746,321,1186,360,2.6932,66400,INLAND
-119.81,36.77,48,1805,329,741,331,2.5804,78900,INLAND
-122.24,37.79,27,1632,492,1171,429,2.3173,125000,NEAR BAY
-122.17,37.72,5,1692,398,814,328,3.663,158300,NEAR BAY
-119.95,38.95,22,1058,352,851,269,2.02,87500,INLAND
-119.58,36.83,13,6135,863,2473,774,5.4895,156700,INLAND
-122.32,37.92,28,4649,977,2606,953,3.2674,129100,NEAR BAY
-119.81,36.81,33,3972,594,1324,561,5.4513,143300,INLAND
-120.08,36.72,22,1339,251,820,276,3.6,83200,INLAND
-121.65,39.32,40,812,154,374,142,2.7891,73500,INLAND
-121.7,39.37,32,1852,373,911,365,1.7885,57000,INLAND
-119.84,36.78,24,3242,795,2764,773,1.3385,58800,INLAND
-121.85,39.74,39,1139,265,623,264,2.2833,85800,INLAND
-120.51,36.55,20,1193,263,1274,241,1.9417,38800,INLAND
-121.96,37.53,28,2949,529,1538,545,4.9615,228000,<1H OCEAN
-122.22,37.78,50,1920,530,1525,477,1.4886,128800,NEAR BAY
-119.72,36.72,15,1713,246,766,232,6.8162,127200,INLAND
-120.1,36.21,12,1462,356,1708,367,1.5086,64700,INLAND
-122.31,37.94,38,2172,403,945,384,4.3958,194200,NEAR BAY
-122.33,39.1,10,266,62,154,49,2.25,75000,INLAND
-119.78,36.82,22,4241,1147,1929,971,1.7708,53500,INLAND
-122.21,37.81,52,1389,212,510,224,5.2402,296400,NEAR BAY
-122.29,37.81,49,844,204,560,152,1.75,75000,NEAR BAY
-122.34,37.95,39,1986,427,1041,385,3.2333,135100,NEAR BAY
-122.13,37.68,43,1676,340,924,328,3.6,179400,NEAR BAY
-122.06,37.96,10,7136,1691,2959,1507,3.9816,182000,NEAR BAY
-122.12,37.67,33,3429,681,1798,694,3.9395,184700,NEAR BAY
-122.3,37.98,25,3807,806,1821,792,3.6518,164300,NEAR BAY
-119.75,36.72,22,3247,859,4179,881,1.3343,60800,INLAND
-122.01,39.21,52,1989,392,985,396,2.5556,75800,INLAND
-121.82,38.01,42,1017,253,798,266,2.1719,99100,INLAND
-122.21,37.82,52,2375,333,813,350,7.0549,331400,NEAR BAY
-119.69,36.79,15,2524,451,1207,424,2.7404,76300,INLAND
-122.24,37.81,52,2093,550,918,483,2.7477,243800,NEAR BAY
-119.73,36.52,20,1741,331,1466,289,2.5921,94200,INLAND
-119.71,36.8,25,875,156,646,166,3.0,72800,INLAND
-122.35,37.95,31,2449,595,1801,548,2.6328,110300,NEAR BAY
-119.79,36.83,15,3356,694,1232,627,2.2215,72200,INLAND
-119.69,36.73,30,2437,349,1005,380,7.2211,171700,INLAND
-122.04,37.95,29,866,138,341,133,4.7188,197100,NEAR BAY
-121.96,37.51,22,5811,1125,3215,1086,4.4107,223500,<1H OCEAN
-121.76,37.68,52,2157,418,929,419,3.7301,204400,INLAND
-122.16,37.76,45,2299,514,1437,484,2.5122,95500,NEAR BAY
-121.77,37.68,44,495,112,277,109,2.6667,179200,INLAND
-122.24,37.81,52,1490,238,634,256,6.0302,287300,NEAR BAY
-122.27,37.9,52,2079,273,684,275,7.9556,374400,NEAR BAY
-122.33,37.93,27,2158,424,1220,442,3.0156,111500,NEAR BAY
-119.69,36.71,25,556,79,249,71,4.4583,108300,INLAND
-122.22,37.81,52,2944,536,1034,521,5.3509,302100,NEAR BAY
-122.09,37.64,36,1180,212,664,200,5.2838,172600,NEAR BAY
-119.76,36.75,35,1607,383,1407,382,2.19,53400,INLAND
-122.16,39.74,20,707,126,337,125,3.0469,85000,INLAND
-122.08,37.9,29,4133,770,1691,744,5.1097,288000,NEAR BAY
-121.46,39.54,14,5549,1000,1822,919,2.9562,142300,INLAND
-119.96,38.93,22,2731,632,1215,483,2.83,110500,INLAND
-122.31,37.93,36,2403,408,917,404,5.0399,253400,NEAR BAY
-122.04,37.53,25,4458,922,2998,890,3.9667,218500,NEAR BAY
-119.96,38.84,17,2722,512,828,289,3.5714,109700,INLAND
-122.11,37.68,37,1976,481,1197,465,2.5772,170200,NEAR BAY
-122.18,37.74,42,541,154,380,123,2.3456,83500,NEAR BAY
-122.08,37.62,17,2485,518,1139,550,2.6875,157300,NEAR BAY
-121.79,37.66,22,14701,2210,6693,2232,5.98,245000,INLAND
-122.14,37.9,32,5738,746,2099,732,10.3224,500001,NEAR BAY
-121.96,37.74,2,200,20,25,9,15.0001,350000,<1H OCEAN
-122.3,37.77,42,2038,368,2037,355,2.6447,200000,NEAR BAY
-122.02,37.94,23,3516,661,1465,623,4.2569,213100,NEAR BAY
-121.77,37.99,4,5623,780,2429,716,5.4409,205100,INLAND
-122.09,37.65,35,1184,200,572,194,4.7143,193800,NEAR BAY
-121.93,38.01,9,2294,389,1142,365,5.3363,160800,INLAND
-120.84,38.63,12,1313,231,731,232,5.7373,208300,INLAND
-120.59,38.53,15,432,87,208,73,3.6125,100000,INLAND
-122.39,38.0,33,44,6,23,11,4.125,212500,NEAR BAY
-122.24,37.79,47,1372,395,1237,303,2.125,95500,NEAR BAY
-122.24,37.8,47,2046,588,1213,554,2.6292,182700,NEAR BAY
-121.84,39.73,52,957,263,513,223,1.3672,55000,INLAND
-120.45,36.86,34,673,173,539,182,2.3523,66000,INLAND
-122.28,37.88,52,1172,215,489,218,3.9167,235600,NEAR BAY
-122.21,37.78,43,1702,460,1227,407,1.7188,126800,NEAR BAY
-122.17,37.73,52,1555,289,620,292,3.7159,183300,NEAR BAY
-120.81,38.67,14,8396,1578,3952,1474,3.0565,118800,INLAND
-122.18,37.89,18,4845,735,1634,734,8.1489,499000,NEAR BAY
-122.34,37.96,15,6487,1717,3408,1560,2.1991,133300,NEAR BAY
-119.72,36.75,27,1691,282,869,337,3.9514,86900,INLAND
-122.27,37.87,52,3084,698,1424,694,2.7372,210200,NEAR BAY
-122.19,37.79,47,1229,243,582,256,2.9514,198100,NEAR BAY
-123.91,41.68,22,1880,360,743,314,2.9688,152700,<1H OCEAN
-122.31,37.93,39,2505,371,872,345,5.3433,286500,NEAR BAY
-122.32,37.97,29,2347,464,1135,490,3.9722,161000,NEAR BAY
-122.33,37.97,45,1982,376,1179,398,3.5463,130800,NEAR BAY
-122.3,37.9,30,1772,471,880,437,2.2672,162500,NEAR BAY
-122.34,37.94,31,1611,455,786,411,1.681,145500,NEAR BAY
-119.77,36.72,43,1763,389,1623,390,1.4427,47700,INLAND
-120.86,38.75,15,1533,300,674,287,2.5625,146100,INLAND
-120.78,38.74,28,4236,877,2008,881,2.1603,111300,INLAND
-120.35,36.16,18,1519,296,846,272,2.7792,85300,INLAND
-122.14,37.72,45,1397,253,555,248,2.983,202700,NEAR BAY
-122.12,37.68,40,1553,253,724,267,4.38,196400,NEAR BAY
-122.33,37.95,22,2099,569,1135,509,2.1915,120800,NEAR BAY
-122.24,37.77,52,1153,235,481,223,2.6411,241000,NEAR BAY
-121.52,39.48,21,2628,494,1364,468,2.0455,59400,INLAND
-122.07,37.65,31,3300,790,2181,740,3.016,161800,NEAR BAY
-122.03,37.86,29,3025,477,1035,452,6.112,390600,NEAR BAY
-122.31,37.91,43,2549,511,1060,528,3.6417,178400,NEAR BAY
-119.86,36.82,12,1488,253,675,223,4.7622,89300,INLAND
-122.23,37.79,43,5963,1344,4367,1231,2.1917,112800,NEAR BAY
-122.25,37.86,52,1389,191,514,202,7.0897,446200,NEAR BAY
-120.57,38.2,13,4110,847,1796,706,2.6417,122300,INLAND
-119.82,36.74,52,610,128,406,122,1.8967,43800,INLAND
-122.02,37.54,31,1240,264,719,236,3.535,210300,NEAR BAY
-120.66,38.61,19,2715,596,1301,473,2.5042,126400,INLAND
-119.82,36.76,46,2194,563,924,542,1.4028,68500,INLAND
-122.08,37.65,17,5018,1439,3069,1299,2.7694,161900,NEAR BAY
-121.93,37.74,16,3326,419,1272,402,6.8806,343500,<1H OCEAN
-119.79,36.8,27,2462,484,852,449,3.32,124700,INLAND
-119.83,36.79,24,3505,819,2098,774,1.9575,67000,INLAND
-122.05,37.59,15,6243,1273,3163,1274,3.7462,212500,NEAR BAY
-122.35,37.92,36,921,200,585,236,1.9224,94000,NEAR BAY
-122.07,37.59,15,3475,686,2568,653,4.6211,151400,NEAR BAY
-121.95,38.02,9,3360,833,2041,810,2.1013,100700,INLAND
-121.8,37.69,17,3956,639,2222,662,5.4324,215500,INLAND
-121.59,39.78,16,2754,570,1063,543,1.4048,86500,INLAND
-122.2,37.79,40,1060,256,667,235,4.1739,169600,NEAR BAY
-119.75,36.75,49,2331,460,1290,477,2.5111,55400,INLAND
-122.01,39.21,39,1214,250,660,249,2.4559,75000,INLAND
-119.81,36.78,35,1012,245,633,240,2.0324,55500,INLAND
-122.28,37.81,52,340,97,200,87,1.5208,112500,NEAR BAY
-121.96,37.55,4,3746,993,1606,838,4.1387,162500,<1H OCEAN
-119.55,36.51,46,55,11,26,5,4.125,67500,INLAND
-119.61,36.57,42,2242,521,1359,483,1.5833,65100,INLAND
-122.03,37.99,37,1755,327,882,350,4.59,166600,NEAR BAY
-120.66,38.4,18,2144,420,985,381,3.175,118500,INLAND
-122.21,37.79,47,1543,307,859,292,2.9583,138800,NEAR BAY
-122.12,37.7,17,2488,617,1287,538,2.9922,179900,NEAR BAY
-119.8,36.68,31,2214,432,1326,416,2.1691,66700,INLAND
-120.97,38.42,16,1748,322,4930,287,4.3029,121900,INLAND
-121.86,37.66,22,3634,664,1699,640,4.1597,293200,INLAND
-122.2,37.79,35,1802,459,1009,390,2.3036,126000,NEAR BAY
-121.56,39.53,12,1733,421,1861,415,1.5771,65200,INLAND
-122.03,37.83,24,5948,738,1997,710,9.8708,500001,NEAR BAY
-119.76,36.73,39,1553,363,1449,341,1.4419,45500,INLAND
-122.17,37.75,48,1751,390,935,349,1.4375,90000,NEAR BAY
-121.24,39.65,35,632,148,221,102,2.3684,62500,INLAND
-122.11,37.7,29,1298,306,835,338,2.3274,170400,NEAR BAY
-121.7,39.36,37,2330,495,1505,470,2.0474,56000,INLAND
-120.63,38.75,17,3145,621,1432,559,2.7201,117500,INLAND
-120.01,38.91,17,2732,609,1005,499,1.9851,86700,INLAND
-121.98,37.53,28,2829,566,1610,540,4.6,223200,<1H OCEAN
-122.32,37.94,46,1901,295,833,352,5.5196,210800,NEAR BAY
-122.29,37.78,42,1241,309,821,300,1.9427,102200,NEAR BAY
-120.65,38.42,23,1538,305,730,267,2.6078,116700,INLAND
-122.27,37.82,52,1630,456,1162,400,1.2475,104200,NEAR BAY
-119.7,36.81,32,2623,528,1570,492,2.7159,68000,INLAND
-121.62,39.77,23,1759,366,788,359,1.8125,93500,INLAND
-122.0,37.99,28,4035,641,1881,659,5.4607,192300,INLAND
-119.7,36.75,11,3626,779,1819,731,2.4956,87500,INLAND
-122.06,37.63,12,6711,1374,3388,1289,3.8625,208900,NEAR BAY
-122.24,37.86,52,1668,225,517,214,7.8521,500001,NEAR BAY
-122.1,37.63,18,9963,2031,5613,1946,3.8171,187200,NEAR BAY
-119.82,36.72,25,2581,528,1642,509,1.6435,52600,INLAND
-122.08,37.64,36,1116,199,662,226,5.7309,177900,NEAR BAY
-121.93,38.02,13,1524,286,940,308,5.1337,154800,INLAND
-122.04,37.99,36,2765,495,1478,441,4.125,136200,NEAR BAY
-121.91,37.81,7,3477,416,1216,395,13.1499,500001,INLAND
-122.06,37.77,12,14316,2045,5781,2007,7.2634,341600,NEAR BAY
-122.28,37.85,49,1130,244,607,239,2.4597,93800,NEAR BAY
-119.56,36.53,19,2746,495,1670,518,3.2019,95700,INLAND
-120.43,36.18,29,579,116,218,99,2.1458,104200,INLAND
-120.38,36.76,25,991,272,941,262,1.8125,58000,INLAND
-121.57,39.5,31,2023,469,1073,436,1.5714,56100,INLAND
-122.26,37.77,52,1848,479,921,477,2.875,234000,NEAR BAY
-122.25,38.02,16,1803,267,946,266,5.7001,205100,NEAR BAY
-122.21,37.8,39,2018,447,1221,446,3.0757,151000,NEAR BAY
-121.89,37.68,22,1898,239,734,245,6.2918,334100,<1H OCEAN
-119.8,36.76,52,1853,437,764,390,1.6429,69200,INLAND
-122.25,37.8,42,4120,1065,1715,1015,2.9345,225000,NEAR BAY
-122.27,37.81,52,210,56,183,56,1.1667,112500,NEAR BAY
-119.69,36.77,22,2456,496,1720,417,2.6875,60600,INLAND
-122.0,37.55,27,6103,1249,3026,1134,4.1591,332400,<1H OCEAN
-122.21,37.77,52,591,173,353,137,4.0904,80600,NEAR BAY
-119.71,36.77,11,5112,1384,2487,1243,2.1461,75900,INLAND
-119.85,36.74,35,1191,190,537,182,3.5375,96700,INLAND
-119.45,36.6,36,2294,489,1430,454,1.8975,60900,INLAND
-121.75,37.69,26,2647,536,1422,522,3.7212,183800,INLAND
-122.34,37.96,33,1817,441,1220,389,2.5382,103600,NEAR BAY
-122.19,37.73,44,1066,253,825,244,2.1538,79700,NEAR BAY
-122.0,37.58,6,4405,717,2071,688,5.8151,295600,<1H OCEAN
-122.13,37.76,26,3266,491,1222,533,5.37,275400,NEAR BAY
-119.6,36.56,36,738,168,737,186,1.4415,54400,INLAND
-122.25,37.82,52,2474,403,1104,398,5.883,340700,NEAR BAY
-122.02,37.6,36,1633,345,1382,338,3.694,159600,NEAR BAY
-119.78,36.79,33,2260,440,966,413,2.9301,68300,INLAND
-119.76,36.76,23,3800,1003,3786,917,1.4766,50600,INLAND
-122.23,37.8,51,1590,414,949,392,1.9028,127900,NEAR BAY
-122.28,37.79,30,4145,869,3668,855,2.5444,275000,NEAR BAY
-122.35,37.98,34,3756,726,2237,686,3.7562,132900,NEAR BAY
-122.27,37.88,52,1693,391,669,367,3.5417,287500,NEAR BAY
-121.96,37.53,23,2215,475,1278,492,4.2955,218800,<1H OCEAN
-119.98,38.9,16,3109,572,885,334,3.5,134700,INLAND
-119.72,36.82,15,946,239,550,246,2.2639,52500,INLAND
-119.76,36.79,32,2463,468,1261,486,3.3281,75100,INLAND
-122.24,37.81,52,2485,313,953,327,6.8591,352400,NEAR BAY
-122.1,37.68,37,1352,342,691,324,3.4032,196900,NEAR BAY
-119.79,36.75,52,377,97,530,96,1.0,45000,INLAND
-122.17,37.74,47,463,134,327,137,2.15,97200,NEAR BAY
-120.63,38.68,14,1821,316,769,266,3.0789,131700,INLAND
-122.19,37.8,46,1938,341,768,332,4.2727,246900,NEAR BAY
-120.36,36.14,18,1206,274,622,217,1.8264,62000,INLAND
-120.22,36.49,14,1508,347,1679,345,2.4786,56000,INLAND
-122.18,37.81,37,1643,262,620,266,5.4446,336700,NEAR BAY
-119.73,36.59,31,1551,296,1058,287,3.3438,92600,INLAND
-119.74,36.75,47,2236,418,1042,397,2.9545,59600,INLAND
-122.24,38.01,16,2084,315,1154,307,6.0102,235600,NEAR BAY
-119.79,36.77,43,2323,502,1144,471,2.3967,58700,INLAND
-122.15,37.74,52,2898,557,1338,550,3.851,183500,NEAR BAY
-122.13,37.89,27,744,214,295,169,2.7411,350000,NEAR BAY
-122.23,37.83,52,2990,379,947,361,7.8772,500001,NEAR BAY
-122.08,37.71,35,2211,350,1004,365,5.4639,238600,NEAR BAY
-122.27,37.78,52,1222,264,630,265,3.7708,215300,NEAR BAY
-122.18,37.79,41,1411,233,626,214,7.0875,240700,NEAR BAY
-120.46,38.15,16,4221,781,1516,697,2.3816,116000,INLAND
-121.6,39.76,22,2447,556,1157,556,1.8245,85500,INLAND
-122.12,37.94,22,4949,626,1850,590,10.4549,500001,NEAR BAY
-122.25,37.79,52,902,237,846,227,3.625,125000,NEAR BAY
-122.32,37.95,37,1887,353,895,359,4.45,196600,NEAR BAY
-122.17,37.76,40,1685,343,949,342,1.8426,94800,NEAR BAY
-122.33,37.91,36,1954,513,1437,440,1.125,93800,NEAR BAY
-121.96,37.58,15,3575,597,1777,559,5.7192,283500,<1H OCEAN
-122.22,37.82,42,2991,335,1018,335,13.499,500001,NEAR BAY
-121.46,39.4,17,3659,735,1970,667,2.425,96200,INLAND
-121.71,39.42,21,1432,284,862,275,2.2813,57600,INLAND
-122.09,37.68,41,1382,353,704,314,3.5114,197500,NEAR BAY
-119.71,36.81,9,1122,290,662,284,2.0536,55000,INLAND
-118.94,37.13,12,2255,472,1006,334,4.1563,94000,INLAND
-122.25,37.87,42,1756,465,2184,422,2.5562,371400,NEAR BAY
-119.77,36.76,43,1945,413,1492,422,1.5174,54600,INLAND
-120.44,36.84,29,1563,293,883,288,2.8182,90500,INLAND
-122.05,37.9,24,4125,1020,1699,873,2.9526,271000,NEAR BAY
-122.08,37.64,36,1340,245,789,248,3.8,172000,NEAR BAY
-122.35,37.91,4,2851,798,1285,712,4.2895,186800,NEAR BAY
-122.41,37.94,52,154,33,89,38,3.2875,275000,NEAR BAY
-122.22,37.79,44,1487,314,961,272,3.5156,109500,NEAR BAY
-122.35,37.95,42,1485,290,971,303,3.6094,114600,NEAR BAY
-122.22,37.81,52,1971,335,765,308,6.5217,273700,NEAR BAY
-121.95,37.74,19,1127,170,518,167,6.3325,250000,<1H OCEAN
-119.76,36.83,17,3690,628,1888,601,4.0196,84200,INLAND
-119.45,36.59,28,1274,215,572,202,3.825,84200,INLAND
-121.89,37.49,9,4909,577,1981,591,9.7194,500001,<1H OCEAN
-122.27,37.78,13,2020,535,959,486,5.2601,292700,NEAR BAY
-122.3,37.91,39,2686,569,1159,559,2.9441,200400,NEAR BAY
-122.08,37.58,16,3349,544,2003,488,6.0074,236500,NEAR BAY
-122.36,37.94,41,2591,585,1638,462,1.822,79700,NEAR BAY
-122.24,37.83,41,2576,406,794,376,5.956,366100,NEAR BAY
-120.37,36.15,34,2084,339,868,347,4.381,86300,INLAND
-122.1,37.61,35,2361,458,1727,467,4.5281,173600,NEAR BAY
-122.15,37.71,18,5778,1526,2441,1352,3.1682,202700,NEAR BAY
-119.82,36.79,18,5822,1439,3415,1224,1.6854,64700,INLAND
-119.73,36.73,9,1621,428,678,394,2.2437,54200,INLAND
-119.71,36.83,5,1087,338,623,362,1.8061,113400,INLAND
-122.2,37.77,39,2689,597,1888,537,2.2562,94800,NEAR BAY
-122.01,39.21,50,1592,372,781,307,2.2679,69100,INLAND
-122.11,37.69,42,1472,310,768,309,3.4643,160900,NEAR BAY
-122.16,37.76,36,2781,574,1438,519,2.4598,155500,NEAR BAY
-122.15,37.71,36,998,178,531,183,4.0208,191500,NEAR BAY
-121.9,37.67,7,9540,1294,3926,1229,7.4353,389800,<1H OCEAN
-120.55,38.43,18,1564,357,618,277,2.3549,108900,INLAND
-119.82,36.78,36,1370,289,812,282,2.6127,69600,INLAND
-122.19,37.82,32,1835,264,635,263,8.317,365900,NEAR BAY
-122.06,37.85,17,7475,1556,2092,1449,3.6437,186500,NEAR BAY
-119.83,36.75,33,662,183,607,181,1.3929,55600,INLAND
-119.85,36.83,11,2497,427,1101,405,4.8036,141600,INLAND
-122.01,37.98,25,1476,336,777,297,3.5179,165500,NEAR BAY
-119.8,36.8,43,1951,288,725,308,6.3359,169300,INLAND
-119.57,36.7,7,1761,309,974,308,3.7261,83900,INLAND
-122.23,37.84,47,3175,454,1098,485,5.2868,347600,NEAR BAY
-119.25,36.71,13,2813,579,1385,512,2.2202,100000,INLAND
-122.36,37.92,52,215,41,126,43,1.3929,104200,NEAR BAY
-121.55,39.51,48,827,198,396,161,0.8024,58300,INLAND
-119.71,36.82,12,2144,568,1320,566,2.3381,112500,INLAND
-120.76,38.65,17,2319,430,1126,372,3.5511,155900,INLAND
-119.81,36.78,37,1965,364,796,335,3.625,83400,INLAND
-122.03,37.54,6,2918,672,1911,639,4.1406,178200,NEAR BAY
-122.08,37.63,31,767,171,548,185,3.7614,176000,NEAR BAY
-120.71,38.85,8,1877,479,884,323,3.4688,120100,INLAND
-120.71,38.34,16,1257,231,559,213,4.4531,144300,INLAND
-122.37,37.94,49,969,229,599,195,1.3167,71600,NEAR BAY
-121.98,37.8,17,3354,422,1457,425,7.6473,345800,<1H OCEAN
-119.85,36.76,10,2067,450,845,354,1.8214,80100,INLAND
-119.67,36.82,2,2579,376,1133,342,4.5577,123300,INLAND
-122.04,37.85,27,6039,780,2181,761,9.5862,469400,NEAR BAY
-120.76,38.73,17,512,129,314,140,1.5625,108300,INLAND
-119.98,38.93,28,1194,272,494,203,2.3281,85800,INLAND
-121.9,38.03,51,2982,689,1831,608,2.0034,87700,INLAND
-122.25,37.8,43,2364,792,1359,722,2.1429,250000,NEAR BAY
-119.72,36.8,16,2396,526,1338,518,2.1653,78800,INLAND
-121.97,37.56,13,8918,1823,4518,1772,4.8052,254000,<1H OCEAN
-121.91,37.68,20,1804,254,831,260,6.177,262900,<1H OCEAN
-119.98,36.74,26,1453,251,896,260,3.4861,112500,INLAND
-122.13,37.72,45,2315,451,1006,444,3.524,186200,NEAR BAY
-119.6,36.58,28,1452,300,919,308,2.8287,73100,INLAND
-121.99,39.15,17,6440,1204,3266,1142,2.7137,72000,INLAND
-122.33,37.93,34,2326,471,1356,441,2.3475,90300,NEAR BAY
-121.81,37.99,18,2807,445,1315,437,4.8194,170400,INLAND
-122.15,37.76,39,1823,286,763,270,6.0749,196900,NEAR BAY
-120.95,38.69,10,3421,563,1689,545,5.2032,217100,INLAND
-122.16,37.89,32,1779,241,721,258,8.7589,434500,NEAR BAY
-121.91,37.47,13,5377,744,2759,760,6.868,337300,<1H OCEAN
-122.0,37.98,35,1192,201,535,172,4.9219,182000,INLAND
-119.85,36.82,15,1387,236,638,195,5.5842,88900,INLAND
-121.89,37.82,4,11444,1355,3898,1257,13.2949,500001,INLAND
-119.8,36.72,19,1334,336,1171,319,1.0481,48500,INLAND
-119.75,36.77,32,1962,399,1005,392,2.6726,70400,INLAND
-122.03,37.53,18,1746,437,1268,404,3.256,183300,NEAR BAY
-121.98,37.8,16,2498,330,1027,343,8.155,343700,<1H OCEAN
-122.19,37.77,41,2036,510,1412,454,2.0469,89300,NEAR BAY
-121.83,39.74,34,3263,604,1290,594,2.575,130300,INLAND
-122.33,37.92,26,3887,779,2512,740,2.2301,122400,NEAR BAY
-122.07,37.67,27,3239,671,1469,616,3.2465,230600,NEAR BAY
-122.28,37.81,36,2914,562,1236,509,2.4464,102100,NEAR BAY
-122.01,37.54,32,2572,406,1128,395,5.0,287600,NEAR BAY
-121.81,38.0,37,2724,579,1400,540,2.905,97300,INLAND
-122.28,37.88,52,1909,416,811,406,3.006,227900,NEAR BAY
-122.21,37.79,34,2364,557,1517,516,2.8365,139200,NEAR BAY
-122.28,37.83,52,1511,390,901,403,1.4103,103900,NEAR BAY
-122.06,37.96,37,1784,313,788,304,4.2917,189600,NEAR BAY
-119.8,36.74,25,1717,542,1343,471,0.799,51800,INLAND
-121.57,39.76,20,1384,257,557,232,2.0882,104900,INLAND
-121.87,39.75,22,1707,296,822,297,3.6625,126600,INLAND
-122.08,37.87,24,6130,1359,1750,1286,2.9167,102700,NEAR BAY
-121.84,39.74,43,2976,599,1181,560,2.2621,85100,INLAND
-122.06,37.54,20,6483,1068,3526,1060,5.0838,248200,NEAR BAY
-122.04,37.95,33,1653,334,814,328,3.1406,163100,NEAR BAY
-122.25,37.77,52,2650,566,1468,567,3.0161,215700,NEAR BAY
-122.15,37.69,38,1246,221,637,222,3.6625,184600,NEAR BAY
-122.25,37.85,52,1627,280,565,259,3.8462,342200,NEAR BAY
-121.52,39.51,30,3085,610,1688,575,2.334,72200,INLAND
-122.19,37.78,52,1070,193,555,190,3.7262,166900,NEAR BAY
-121.99,37.97,30,3320,589,1470,543,4.6071,184100,INLAND
-119.73,36.76,30,1548,282,886,311,3.1,71300,INLAND
